Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SLS01G01Z91,2025.06,-2734,PROVISIONAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G02121,2009.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2010.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2011.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2012.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2013.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2014.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2015.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2016.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2017.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2018.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2019.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2020.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2021.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2022.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2023.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2024.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02121,2025.06,0,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SLS01G02140,2009.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2010.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2011.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2012.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2013.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2014.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2015.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2016.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2017.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2018.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2019.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2020.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2021.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2022.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2023.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2024.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02140,2025.06,0,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SLS01G02142,2009.06,1375,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2010.06,1481,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2011.06,1473,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2012.06,1633,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2013.06,1625,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2014.06,1678,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2015.06,1742,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2016.06,1772,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2017.06,1978,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2018.06,2041,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2019.06,2191,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2020.06,2156,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2021.06,2304,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2022.06,2217,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2023.06,2433,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SLS01G02142,2024.06,2838,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
