Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SGS01G01Z91,2025.06,-15602,PROVISIONAL,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SGS01G02121,2009.06,2278,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2010.06,2523,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2011.06,2745,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2012.06,2782,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2013.06,2514,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2014.06,2618,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2015.06,2392,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2016.06,2049,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2017.06,2063,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2018.06,1992,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2019.06,2169,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2020.06,2178,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2021.06,2349,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2022.06,2486,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2023.06,2752,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2024.06,2955,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02121,2025.06,3029,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SGS01G02140,2009.06,579,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2010.06,439,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2011.06,396,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2012.06,365,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2013.06,409,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2014.06,380,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2015.06,282,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2016.06,219,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2017.06,191,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2018.06,232,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2019.06,222,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2020.06,206,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SGS01G02140,2021.06,185,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
