year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2017,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2481.82
2017,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2481820.75
2018,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2441.9
2018,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2441899.17
2019,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2470.37
2019,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2470368.34
2020,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2368.5
2020,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2368496.97
2021,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2470.86
2021,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2470856.48
2022,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2326.12
2022,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2326120.93
2023,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2275.89
2023,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2275887.05
2024,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2279.79
2024,CC711,Primary metal and metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2279789.57
2007,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,145.77
2007,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,145768.05
2008,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,133.57
2008,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,133566.24
2009,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,132.46
2009,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,132460.91
2010,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,130.97
2010,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,130967.38
2011,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,129.96
2011,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,129964.84
2012,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,148.49
2012,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,148492.37
2013,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,227.44
2013,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,227439.24
2014,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,177.4
2014,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,177396.79
2015,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,133.79
2015,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,133791.46
2016,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,140.75
2016,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,140753.46
2017,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,164.18
2017,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,164180.63
2018,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,150.23
2018,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,150226.86
2019,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,141.27
2019,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,141273.38
2020,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,137.78
2020,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,137784.85
2021,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,155.29
2021,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,155287.32
2022,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,185.47
2022,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,185470.12
2023,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,154.94
2023,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,154942.28
2024,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,160.06
2024,CC721,Fabricated metal product manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,160059.39
2007,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,58.63
2007,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,58633.07
2008,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.62
2008,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51619.05
2009,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,38.41
2009,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,38412.36
2010,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,48.86
2010,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,48860.38
2011,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,52.33
2011,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,52334.85
2012,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.95
2012,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51950.7
2013,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,52.37
2013,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,52366.26
2014,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,41.17
2014,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,41167.42
2015,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,36.45
2015,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,36451.58
2016,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,42.72
2016,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,42717.78
2017,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,49.65
2017,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,49648.67
2018,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,54.45
2018,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,54447.58
2019,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,55.33
2019,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,55327.24
2020,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.87
2020,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51870.94
2021,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,56.25
2021,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,56254.56
2022,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,56.58
2022,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,56581.14
2023,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,53.39
2023,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,53392.92
2024,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,52.94
2024,CC811,Transport equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,52939.76
2007,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,38.41
2007,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,38405.44
2008,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,34.74
2008,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,34742.63
2009,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,30.78
2009,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,30781.82
2010,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,46.61
2010,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,46607.08
2011,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,49.36
2011,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,49359.57
2012,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,49.57
2012,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,49569.3
2013,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,53.84
2013,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,53837.25
2014,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,31.13
2014,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,31126.41
2015,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,22.77
2015,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,22772.22
2016,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,20.71
2016,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,20707.62
2017,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,20.18
2017,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,20178.55
2018,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,19.11
2018,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,19110.96
2019,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18.94
2019,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18939
2020,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,18.93
2020,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,18930.18
2021,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,22.35
2021,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,22350.46
2022,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,32.94
2022,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,32939.61
2023,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,36.23
2023,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,36233.45
2024,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,35.9
2024,CC821,Electronic and electrical equipment manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,35898.48
2007,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,90.26
2007,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,90255.25
2008,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,93.22
2008,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,93216.7
2009,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,90.97
2009,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,90967.3
2010,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,118.01
2010,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,118014.32
2011,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,122.66
2011,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,122663.94
2012,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,122.13
2012,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,122128.8
2013,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,122.3
2013,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,122300.7
2014,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,104.38
2014,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,104380.45
2015,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,91.41
2015,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,91412.34
2016,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,87.86
2016,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,87860.29
2017,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,89.32
2017,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,89316.67
2018,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,98.38
2018,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,98379.42
2019,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,94.88
2019,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,94883.9
2020,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,93.03
2020,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,93033.88
2021,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,102.08
2021,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,102078.22
2022,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,112.16
2022,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,112163.9
2023,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,116.61
2023,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,116607.73
2024,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,116.15
2024,CC822,Machinery manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,116145.05
2007,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,131.67
2007,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,131674.91
2008,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,140.8
2008,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,140798.44
2009,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,108.23
2009,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,108228.56
2010,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,86
2010,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,86004.93
2011,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,64.74
2011,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,64744.19
2012,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.51
2012,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51508.25
2013,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,68.06
2013,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,68064.87
2014,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,72.8
2014,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,72802.37
2015,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.77
2015,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51768.16
2016,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,61.21
2016,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,61213.75
2017,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,68.86
2017,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,68861.2
2018,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,67.85
2018,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,67849.1
2019,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,49.58
2019,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,49575.27
2020,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,54.17
2020,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,54166.36
2021,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,64.25
2021,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,64246.49
2022,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,49.27
2022,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,49272.19
2023,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.97
2023,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51972.33
2024,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,45.71
2024,CC911,Furniture manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,45714.39
2007,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,586.64
2007,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,586635.63
2008,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,650.35
2008,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,650349.03
2009,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,488.59
2009,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,488594.04
2010,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,357.67
2010,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,357668.73
2011,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,237
2011,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,236999.31
2012,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,185.91
2012,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,185910.43
2013,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,300.48
2013,CC912,Other manufacturing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,300482.37
2014,CC912,Other manufacturing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,315.98
