year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2009,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,25138021.68
2010,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,25076.34
2010,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,25076336.7
2011,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,24821.15
2011,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,24821147.52
2012,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,25553.17
2012,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,25553170.76
2013,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,25330.29
2013,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,25330294.28
2014,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,24992.72
2014,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,24992724.91
2015,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,24395.32
2015,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,24395321.76
2016,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,23677.86
2016,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,23677857.6
2017,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,24101.56
2017,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,24101560.71
2018,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,24246.99
2018,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,24246994.88
2019,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,23919.01
2019,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,23919005.6
2020,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,24003.72
2020,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,24003716.83
2021,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,23575.66
2021,AA121,"Sheep, beef cattle, and grain farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,23575661.98
